,pc_100,pc_90,pc_80,pc_70,pc_60,pc_50,pc_40,history
0,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con
1,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con
2,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con
3,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con
4,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con
5,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con
6,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
7,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
8,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
9,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_con:transcoder-image-1-con,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu,virtual_deployment_units_gpu:transcoder-image-1-gpu
